"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","sup_diff","sup_diff_rec","max_abs_coef","max_abs_rec"
"101","101","1","inf","321.071346282959","[0.012574978896227067, -0.04505719856864363, 0.07939474271739205, -0.10563100214668758, 0.12708300293281907, -0.13186403858910653, 0.11825518665646886, -0.1020571653881744, 0.0769593550523529, -0.040682901362960266, 0.005329034398178122, 0.033573006699891536, -0.06592421753361571, 0.07177917796645536, -0.06353803915588406, 0.04781993495506923, -0.021592522858347528, 0.0029044967435768168, 0.013082983005206472, -0.03953639024766799, 0.0544913790708334, -0.055012355401450386, 0.04992617276361582, -0.023960363062705804, -0.004605923227821833, 0.015499229703052678, -0.034267632089844645, 0.053865508113419835, -0.05766561950601355, 0.06349467817574923, -0.04350786108648351, -0.01633690687293307, 0.059945432405977585, -0.08421044814292418, 0.09400342667643483, -0.05048204994599413, 0.004716104871932431, 0.010847105793247647, -0.0621738018866789, 0.10489833942994638, -0.09784934864019809, 0.10175843851756092, -0.01934759476132939, -0.16136620677207356, 0.201611017792764, -0.15192801887231983, 0.06948369985257942, 0.3327515791039775, -0.5139716072932741, -0.6615657745282392, -0.15184891807920559]","[0.0, 0.02092481436225355, 0.0, -0.059446877071352884, 0.0, 0.09153406874394265, 0.0, -0.11497650959807028, 0.0, 0.12663987024199952, 0.0, -0.1268718868637233, 0.0, 0.11624576365566616, 0.0, -0.0939585119361481, 0.0, 0.06421710547324871, 0.0, -0.03141238947614184, 0.0, -0.0015545835216877234, 0.0, 0.029135408690755822, 0.0, -0.048468967807671806, 0.0, 0.059774112714432365, 0.0, -0.059908827182385285, 0.0, 0.04899754728195583, 0.0, -0.030471612735148028, 0.0, 0.005767855205418037, 0.0, 0.01964152654069081, 0.0, -0.038698271920982664, 0.0, 0.05067421871230209, 0.0, -0.05312958442315803, 0.0, 0.043994301694945184, 0.0, -0.027283197955165282, 0.0, 0.00430871538129511, 0.0, 0.022876601542941015, 0.0, -0.04465460845100015, 0.0, 0.05685546903333984, 0.0, -0.05780545169629467, 0.0, 0.04295043993912136, 0.0, -0.01722453103969795, 0.0, -0.011917139993613548, 0.0, 0.04342724233976729, 0.0, -0.06697233854368903, 0.0, 0.07292384094902377, 0.0, -0.062066720835124475, 0.0, 0.02963162503849264, 0.0, 0.02076784560392699, 0.0, -0.06799869377639889, 0.0, 0.10142864755618614, 0.0, -0.10846520057318451, 0.0, 0.06832427503357599, 0.0, 0.010328689548663717, 0.0, -0.10484303610549116, 0.0, 0.18611602705677957, 0.0, -0.17968708207850959, 0.0, 0.01817893816971889, 0.0, 0.2882722254236454, 0.0, -0.4773222247267556, 0.0, -0.6155946096155653, 0.0, -0.14123050561810027]","True","False","2.235941515331432","1.99834360661898","0.32913492248126874","-1.767186658008235e-05"
"128","101","1","1.2238528804327964","419.9349532127381","[0.015417601942149623, -0.054305240805145906, 0.08076268110850551, -0.10946310136651932, 0.11982012613693739, -0.12174691053309707, 0.10851451551564972, -0.11311282222275242, 0.07423971441024885, -0.004495604520875181, 0.015920500020846686, -0.010725047336031197, -0.05119481374549683, 0.05638216277986573, -0.08009060695118404, 0.06493226490714465, -0.027417585493352454, 0.017565707843713824, 0.028737636526724585, -0.02260370338823384, 0.05251657295261996, -0.03629947995192124, 0.05162253220312063, -0.028229976123187082, 0.03295674124841861, 0.006273541304203936, -0.022995120840891517, 0.05624407314469074, -0.05850234871955356, 0.05608478767913921, -0.04110550190712724, 0.020273390123783926, 0.02158735318417825, -0.05432610915760747, 0.0722627758289495, -0.07448857167496117, 0.06000937344424184, -0.02914219106361108, -0.02360390418691074, 0.06342423993323394, -0.11486409394984554, 0.09866888399814126, -0.10275560364018882, -0.02906894654054186, 0.03192552174270807, -0.2921085576920768, 0.04840069834037722, -0.40720918984396376, -0.7442945353473189, 0.1183596771730647, 0.2896669289850759]","[0.0, 0.02004700175701339, 0.0, -0.055499314233872235, 0.0, 0.08808056236923978, 0.0, -0.10954010157111141, 0.0, 0.12326633946140855, 0.0, -0.12326283036062849, 0.0, 0.11439175877166266, 0.0, -0.09300031486424445, 0.0, 0.06719479149094779, 0.0, -0.03668133567468595, 0.0, 0.004698621879306043, 0.0, 0.024037987297789592, 0.0, -0.04414761372336669, 0.0, 0.05635127887760161, 0.0, -0.05793238821735885, 0.0, 0.05048413812168467, 0.0, -0.035037804991729274, 0.0, 0.01402263519085068, 0.0, 0.009006555376545265, 0.0, -0.029370661789958955, 0.0, 0.04525375049071477, 0.0, -0.05117245828443761, 0.0, 0.04868820555862303, 0.0, -0.0351940502925375, 0.0, 0.01501217009654866, 0.0, 0.008500882115955734, 0.0, -0.03068787954473659, 0.0, 0.04767503120774519, 0.0, -0.05522734281657677, 0.0, 0.05213538930108655, 0.0, -0.03528481547373888, 0.0, 0.00972522307746803, 0.0, 0.0196966491030414, 0.0, -0.04707604555005078, 0.0, 0.06612611249707073, 0.0, -0.07037962576863181, 0.0, 0.05454617025538047, 0.0, -0.024482699578744473, 0.0, -0.022480465606621727, 0.0, 0.06091403772663822, 0.0, -0.10385793101040747, 0.0, 0.09168637193140056, 0.0, -0.09327774938632077, 0.0, -0.028122193390958544, 0.0, 0.029806624715419568, 0.0, -0.2715773976589643, 0.0, 0.03950954481658493, 0.0, -0.3771859398256664, 0.0, -0.6991382730302458, 0.0, 0.1082672957362643, 0.0, 0.27550578171934104]","True","False","2.103849924089145","1.984986280092845","0.1715913536077469","-2.0573282408453686e-05"
"256","101","1","0.179699297748013","340.2279360294342","[0.019911782887229834, -0.05793845930077769, 0.09097075697291405, -0.11108111186330981, 0.12529627339805163, -0.12228460792235836, 0.1118148546000681, -0.09064815552103038, 0.0719693832076682, -0.036579798503824874, 0.006683581391252335, 0.024742825612689694, -0.04321185984249721, 0.062437259422055094, -0.06058002987896607, 0.05120478401177447, -0.033002657828472885, 0.009839409199148899, 0.009065855213705154, -0.03191814566067543, 0.0424761897840881, -0.051717864710967294, 0.05040263227766673, -0.03335707548413283, 0.016117597192706362, 0.014033370222040136, -0.036218192102459794, 0.04024230707626463, -0.053258176327925254, 0.05520755752248232, -0.0339332272999308, 0.00582777775689546, 0.019300942274698526, -0.04681907836832776, 0.06645801703195382, -0.06997390264330433, 0.05401144347250107, -0.022596019724205926, -0.02255240828432939, 0.06591664491976891, -0.10162661441391564, 0.10060140802700338, -0.08019095955058105, -0.015119275944083162, 0.06344891459342912, -0.24543144328561092, 0.08473430215263038, -0.33903504439099363, -0.7620949678630908, 0.004104603405371789, 0.23518283597581352]","[0.0, 0.01955687095754596, 0.0, -0.05666564923852374, 0.0, 0.08833719245326593, 0.0, -0.11147472374531292, 0.0, 0.12395465514331477, 0.0, -0.12484863996415835, 0.0, 0.11448392984811114, 0.0, -0.09415011777202142, 0.0, 0.06658937664098981, 0.0, -0.035191449865404976, 0.0, 0.003870054408868831, 0.0, 0.02410353895912043, 0.0, -0.04503760449081487, 0.0, 0.05692199405590187, 0.0, -0.05858895067034725, 0.0, 0.050533255513271064, 0.0, -0.03430979701555662, 0.0, 0.012857342910058387, 0.0, 0.01007957107184842, 0.0, -0.03063375121456743, 0.0, 0.04521349987350207, 0.0, -0.051160783201056645, 0.0, 0.047409770000142, 0.0, -0.034282657049438545, 0.0, 0.014228864074979452, 0.0, 0.009317344302763758, 0.0, -0.031604733481663164, 0.0, 0.04838083815023878, 0.0, -0.055249216585213964, 0.0, 0.050457608984615966, 0.0, -0.03394453229981287, 0.0, 0.008473616364390533, 0.0, 0.021301563995234897, 0.0, -0.048484349808499805, 0.0, 0.06628483424802208, 0.0, -0.06897664070154805, 0.0, 0.05333730804070332, 0.0, -0.021089644363600273, 0.0, -0.023303374702096744, 0.0, 0.06609014115945822, 0.0, -0.10026860681001212, 0.0, 0.09880200147690169, 0.0, -0.07818781984966021, 0.0, -0.015164279254416727, 0.0, 0.06331791976882209, 0.0, -0.24262677319326195, 0.0, 0.08275871638148401, 0.0, -0.33387988743661834, 0.0, -0.7515882801088082, 0.0, 0.003157872017487312, 0.0, 0.2320673017174288]","True","False","2.0205248132269467","1.998825238694526","0.04580732766356199","-8.325171408918308e-07"
"512","101","1","0.9988419347684936","363.2234859466553","[0.019673712924889775, -0.05633194113733354, 0.08735405263775477, -0.11081498601335736, 0.12328810319674964, -0.12438255855006662, 0.11438221084292298, -0.09359548657414189, 0.0672550698791669, -0.03591169412219889, 0.005115228496684149, 0.022667172247495263, -0.044485711449564265, 0.056914507944402164, -0.05900569101464114, 0.050253626702167285, -0.034213544440485286, 0.014236114724803715, 0.0079392493943485, -0.029041762988002404, 0.04453711081623937, -0.050537198828473504, 0.04687520594363185, -0.03587304903541759, 0.017057719632114145, 0.008074286536658811, -0.029783014323475607, 0.04505240015334969, -0.05623212688670696, 0.0497517443048412, -0.03656567022520988, 0.011350370902393228, 0.017192177516008572, -0.04419036363316096, 0.06326777715140021, -0.06823024215290757, 0.05602008560657995, -0.026925298312974567, -0.014160573484670536, 0.05779040930064933, -0.09171841302877494, 0.10245816529362671, -0.07928450994879799, 0.019379615789641664, 0.06818715694823517, -0.15776527142013308, 0.2029716359862781, -0.13679500367068978, -0.1282009325359381, 0.6938869700419283, 0.47111149028771215]","[0.0, 0.019412838011281155, 0.0, -0.05635631099625286, 0.0, 0.08784628742019501, 0.0, -0.11088060455294715, 0.0, 0.12337512565190517, 0.0, -0.12435904427195732, 0.0, 0.11410292467563968, 0.0, -0.0941031729373466, 0.0, 0.0668933331931392, 0.0, -0.035812949168865335, 0.0, 0.004568170899741826, 0.0, 0.023162030149347194, 0.0, -0.044203363477679516, 0.0, 0.056282587125961014, 0.0, -0.05833188434104993, 0.0, 0.05066168643455064, 0.0, -0.034931603687084256, 0.0, 0.01394836748423348, 0.0, 0.00869968527256735, 0.0, -0.029176685985129708, 0.0, 0.04396859172345319, 0.0, -0.050463511327743175, 0.0, 0.04740743412917679, 0.0, -0.03519059335045291, 0.0, 0.015870010805250738, 0.0, 0.007071119736243422, 0.0, -0.029287219581230543, 0.0, 0.046267956428246174, 0.0, -0.05419526637323943, 0.0, 0.05079872993212619, 0.0, -0.03590760608572426, 0.0, 0.011811975085026225, 0.0, 0.016945669261540022, 0.0, -0.04419089578067011, 0.0, 0.06323129372002723, 0.0, -0.06829610406704556, 0.0, 0.0560475299354445, 0.0, -0.026897547355344657, 0.0, -0.014215687190987654, 0.0, 0.05793569665760174, 0.0, -0.09170397711138167, 0.0, 0.10221635693554694, 0.0, -0.07905190950741905, 0.0, 0.019158905150921463, 0.0, 0.06829132668932018, 0.0, -0.15741074981970526, 0.0, 0.20233150075144823, 0.0, -0.13598785318826184, 0.0, -0.12821605302096217, 0.0, 0.6913663244705406, 0.0, 0.4694890948416009]","True","False","0.010743510444110926","0.001243031779174154","0.010730081871693553","-8.061107781287546e-09"
"1024","101","1","0.0054877414859238","326.2700049877167","[0.019060255943966355, -0.0562569286937016, 0.08835964531289821, -0.11068924153123198, 0.12320445391687494, -0.12498712091760855, 0.11391577950326162, -0.09425776560835045, 0.06659327221368416, -0.03594730220894986, 0.004502309527318649, 0.0233259322197365, -0.04434613597521501, 0.05618912955157975, -0.05824399278715524, 0.05075626567872908, -0.03498957036095308, 0.013909093586178933, 0.008868320762880027, -0.02935688059147692, 0.04405779692259347, -0.05052657577477843, 0.04740717423045832, -0.0351026772335606, 0.015613635423048456, 0.007351405865550882, -0.02943768606977648, 0.04612543389638171, -0.053949266618749936, 0.050648668822205464, -0.03589660816799935, 0.011828032631629747, 0.017135738953986453, -0.04438590732695786, 0.06335948382690568, -0.06816311357191511, 0.055942988675106865, -0.026591426795702956, -0.01444270846061087, 0.05809569223084901, -0.09182515551647735, 0.10211870250522329, -0.07883065305258576, 0.01864604904955225, 0.06898979430990575, -0.1577585014478396, 0.20215737241517698, -0.1353022325095892, -0.12929501682366987, 0.6914955126557496, 0.4709244400230975]","[0.0, 0.01942977725668792, 0.0, -0.056400271247848535, 0.0, 0.08790807311237123, 0.0, -0.11095563410187796, 0.0, 0.12344816299079037, 0.0, -0.1244180011592087, 0.0, 0.1141408316829923, 0.0, -0.09410889521362947, 0.0, 0.06687433092705129, 0.0, -0.03576465143457819, 0.0, 0.004503254854486877, 0.0, 0.023232699837725874, 0.0, -0.0442660032688527, 0.0, 0.056322568273337786, 0.0, -0.058342199125562176, 0.0, 0.050634334133043774, 0.0, -0.03486893977897346, 0.0, 0.013863247918944716, 0.0, 0.008793188857729303, 0.0, -0.029261395064721134, 0.0, 0.044027580250557315, 0.0, -0.05048149867173825, 0.0, 0.047376418169171944, 0.0, -0.03511333864431143, 0.0, 0.01576240840846484, 0.0, 0.007194277187909398, 0.0, -0.029390812517728078, 0.0, 0.046321962604920205, 0.0, -0.05418669335862314, 0.0, 0.0507071253419103, 0.0, -0.035747899942638175, 0.0, 0.011606788885220092, 0.0, 0.017152232951765635, 0.0, -0.04434546407668841, 0.0, 0.06328917779992385, 0.0, -0.06822457444070607, 0.0, 0.05584356685237473, 0.0, -0.026596914095092586, 0.0, -0.014539995432351661, 0.0, 0.05818325320647075, 0.0, -0.0917686786573784, 0.0, 0.1020262219276944, 0.0, -0.07860074247688005, 0.0, 0.01854410983140133, 0.0, 0.06885982860444415, 0.0, -0.15765482470793524, 0.0, 0.20200099062869709, 0.0, -0.1350759875316792, 0.0, -0.12915541108402862, 0.0, 0.6907563611052162, 0.0, 0.47046602807871607]","True","False","0.00597100733620895","0.0055963266845070105","0.0026640067737127016","-4.603620928911312e-09"
"2048","101","1","0.002592858348938","309.21605706214905","[0.019451008022539417, -0.056423142352628484, 0.0878628074912285, -0.1108625519887324, 0.12337025215981429, -0.12438613296760938, 0.11412599581959318, -0.09409967263162679, 0.06688839350882915, -0.035831372609551014, 0.004592524172339286, 0.02315079483518519, -0.0442295801671803, 0.05631009821425124, -0.058319315259309445, 0.050635009292201605, -0.034934091683589116, 0.014026459017295554, 0.00861668628521423, -0.029133335184274987, 0.043967691030991664, -0.05046768492467464, 0.04746531325251941, -0.03524322793385159, 0.015909709023906576, 0.007129829202158645, -0.029319458562773393, 0.046220000692123474, -0.05416600569262702, 0.050811424613460617, -0.03597410204550829, 0.01183179490704533, 0.016927470280442832, -0.04414997459371107, 0.06315904127345637, -0.06835558964029119, 0.05598816971110606, -0.026990135468926632, -0.0142321183745493, 0.05783887073737695, -0.09170371563319571, 0.10235740109993982, -0.07907401139990639, 0.019212596554474166, 0.06824908660788451, -0.15752882932568557, 0.2024727452885021, -0.13608222420271318, -0.12817912095747278, 0.6915169276705672, 0.4695972420192371]","[0.0, 0.019415550029688033, 0.0, -0.056360757153328264, 0.0, 0.0878487784914515, 0.0, -0.11088764058300964, 0.0, 0.12338322693340724, 0.0, -0.12436838826498982, 0.0, 0.11411533729611395, 0.0, -0.09411331350462263, 0.0, 0.06690906095333696, 0.0, -0.03582482637716866, 0.0, 0.00457823022901375, 0.0, 0.023157216207687476, 0.0, -0.044204713298065745, 0.0, 0.05629000850436938, 0.0, -0.05834776784950835, 0.0, 0.05068254536020142, 0.0, -0.03495497447708103, 0.0, 0.013976225102777, 0.0, 0.008672166867027327, 0.0, -0.029153048921718404, 0.0, 0.043954172257098884, 0.0, -0.05045828819959364, 0.0, 0.04741180501529402, 0.0, -0.03520358288703033, 0.0, 0.015891787133589835, 0.0, 0.007052516010391812, 0.0, -0.029270529994912177, 0.0, 0.046255303385823454, 0.0, -0.054200054950895304, 0.0, 0.05081155072326977, 0.0, -0.035935449302195194, 0.0, 0.011845515198692041, 0.0, 0.01690950950960074, 0.0, -0.04415734566002895, 0.0, 0.06320937001202706, 0.0, -0.06828919038848291, 0.0, 0.05605472032989, 0.0, -0.026915018887536092, 0.0, -0.014197408760083411, 0.0, 0.05792487484112329, 0.0, -0.09170650665894212, 0.0, 0.1022352066537065, 0.0, -0.07907981443963322, 0.0, 0.019182937434101044, 0.0, 0.06828591344145574, 0.0, -0.15743972769315745, 0.0, 0.2023939508421685, 0.0, -0.1360692444940873, 0.0, -0.12814664793338365, 0.0, 0.6913369739249484, 0.0, 0.46949909793147726]","True","False","0.0010233523192697547","0.0007997756797640126","0.0006499922913252298","-3.206590548643362e-10"
