"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","max_abs_coef","max_abs_rec","diff_coef_vs_gt524288","diff_rec_vs_gt524288","sup_diff_vs_gt524288","sup_diff_rec_vs_gt524288"
"101","101","1","inf","23.940345287323","[0.18949566834257128, -0.16856205771016405, 0.14785257011456765, -0.12751324803081224, 0.10768509363284318, -0.08850218578825732, 0.07008984518271381, -0.05256299488596784, 0.036024640589722094, -0.020564616260588812, 0.0062585127148453365, 0.006833077223702836, -0.018665096156891343, 0.02920822770885865, -0.03844888857160906, 0.046388908919977365, -0.05304503110068544, 0.058448134529502434, -0.06264231759103406, 0.06568374198945391, -0.06763936712441701, 0.06858547888107168, -0.06860614392634531, 0.06779150322030128, -0.06623605056080084, 0.06403682784252894, -0.06129170046818045, 0.05809765745630208, -0.05454930353556557, 0.05073747947226681, -0.04674815637297825, 0.04266150682071308, -0.03855125739057046, 0.03448418253487571, -0.03051980714284842, 0.026710153297917733, -0.02309959246804837, 0.019724653836176703, -0.016613885810655597, 0.013787673486254414, -0.011258169997512862, 0.00902930507710442, -0.007097080054696875, 0.0054501486934000545, -0.004070914007838932, 0.0029371539812903815, -0.0020244088305286633, 0.0013088391586146325, -0.0007649632774549611, 0.0001112988342663488, 0.002725984464949801]","[0.0, 0.18918637209692774, 0.0, -0.16771621230032444, 0.0, 0.14662613399643099, 0.0, -0.1260470987236546, 0.0, 0.10610435540762553, 0.0, -0.08691577125049271, 0.0, 0.06859024860852699, 0.0, -0.0512263471391662, 0.0, 0.03491102632606673, 0.0, -0.019718645743355655, 0.0, 0.005710132768548475, 0.0, 0.0070675556013567375, 0.0, -0.01858178200907256, 0.0, 0.028814279496024036, 0.0, -0.037761025623098105, 0.0, 0.045431844120076254, 0.0, -0.0518498648583087, 0.0, 0.057050749654298544, 0.0, -0.061081813019427264, 0.0, 0.06400094049386251, 0.0, -0.065875428332127, 0.0, 0.06678064430726459, 0.0, -0.06679863546958201, 0.0, 0.0660165908930313, 0.0, -0.06452529933345533, 0.0, 0.06241752758924589, 0.0, -0.0597864773103457, 0.0, 0.05672425950911024, 0.0, -0.05332054933472333, 0.0, 0.0496613533483487, 0.0, -0.04582803185220288, 0.0, 0.041896476847566394, 0.0, -0.03793654881225303, 0.0, 0.03401163185951543, 0.0, -0.03017837501998984, 0.0, 0.02648645639039423, 0.0, -0.02297843325690945, 0.0, 0.0196895312910984, 0.0, -0.01664747260205754, 0.0, 0.013872248367829524, 0.0, -0.011375996996347813, 0.0, 0.009162954082701713, 0.0, -0.0072296861980099825, 0.0, 0.005565610510085327, 0.0, -0.004154032767134117, 0.0, 0.0029737187850443743, 0.0, -0.0020012342349349085, 0.0, 0.0012137642496956084, 0.0, -0.000586822143486887, 0.0, -0.00016018465443349588, 0.0, 0.0031008821058571842]","True","False","0.0246881684711453","-2.499475212258684e-05","0.046345689390422405","0.04585357589336082","0.23044533777410403","0.23227501111432008"
"128","101","1","0.0353727554637074","23.99861311912537","[0.18911183087986905, -0.16743348251323156, 0.14505502722660416, -0.12409992792939714, 0.10337457613529007, -0.08335096271690033, 0.06410367238837493, -0.04601303912257792, 0.028960420254868446, -0.013125367281552166, -0.001432393780238234, 0.014575879131060213, -0.026362535086500407, 0.03672254547236466, -0.04565853662282083, 0.05315483063800135, -0.0592900422657095, 0.06407790750502693, -0.0675798268582024, 0.06985602534859939, -0.07101277489172897, 0.07112256284387966, -0.07028323895407287, 0.0685967301073348, -0.06618267849703768, 0.0631439638457304, -0.059585206237217365, 0.0556199853251269, -0.05135938452659933, 0.04690700036422822, -0.04234312638885799, 0.037768927804286936, -0.03326417721806865, 0.028907684728160393, -0.024729656491089904, 0.020808456856173496, -0.01717608406006044, 0.013873996960374852, -0.010868493721058161, 0.008230599757256428, -0.0059365752436842415, 0.003997864399985384, -0.002310084636965426, 0.0009996940117363879, 3.4262283940018265e-05, -0.0007805905154407843, 0.001480283150657815, -0.0016961060725176288, 0.0018238784920856903, -0.0018309926926997025, 0.008843993595942049]","[0.0, 0.18905080917688405, 0.0, -0.16726691691906312, 0.0, 0.14481393265324044, 0.0, -0.12381249899184814, 0.0, 0.10306600992861463, 0.0, -0.08304331102971974, 0.0, 0.06381571248071552, 0.0, -0.04576023087452963, 0.0, 0.02875493068562593, 0.0, -0.012976150687035028, 0.0, -0.001519461766110231, 0.0, 0.01459780568808228, 0.0, -0.026318965913168377, 0.0, 0.03661548267111997, 0.0, -0.04549202491701504, 0.0, 0.052934616712187854, 0.0, -0.05902322122741266, 0.0, 0.06377256696282782, 0.0, -0.0672446961326949, 0.0, 0.06950013708802869, 0.0, -0.07064514987557276, 0.0, 0.07075192502295305, 0.0, -0.06991776513950437, 0.0, 0.06824383815594516, 0.0, -0.06584885859585804, 0.0, 0.0628346544063264, 0.0, -0.05930471336008439, 0.0, 0.0553714442428561, 0.0, -0.051144761575150494, 0.0, 0.04672713220937104, 0.0, -0.042197790682067325, 0.0, 0.03765693983568126, 0.0, -0.03318350803930971, 0.0, 0.028855595604955785, 0.0, -0.02470284163165643, 0.0, 0.020803188782493848, 0.0, -0.01718835805933552, 0.0, 0.013899670702900565, 0.0, -0.010903414106982385, 0.0, 0.008270714997940645, 0.0, -0.005978032706368806, 0.0, 0.004037092792277305, 0.0, -0.002343852788209727, 0.0, 0.0010251515468362798, 0.0, 1.9556534552519057e-05, 0.0, -0.0007786534971241208, 0.0, 0.001492719385853142, 0.0, -0.0017241239650320152, 0.0, 0.0018683000190415238, 0.0, -0.0018922719246222083, 0.0, 0.00892257601360143]","True","False","0.00494280084735621","-9.74780361540084e-07","0.011000086420188685","0.010981339576594704","0.054490284952021885","0.05540162372656614"
"256","101","1","0.0114141017591483","23.335998058319092","[0.18880148924264334, -0.16649149153402212, 0.14444019674164343, -0.12282334454911521, 0.1018066057436219, -0.081544473969557, 0.062178739971948754, -0.04383670790774876, 0.026643191918875216, -0.010695710560268603, -0.003921231852439026, 0.017148379244425745, -0.028944672945156187, 0.039272909625511644, -0.048133351795476495, 0.05553198227755153, -0.0615075057724404, 0.06610905529800098, -0.06938442720250239, 0.07142102515294775, -0.07229477687677215, 0.07211833814637976, -0.07099555398305138, 0.06902037388448341, -0.06632393184988744, 0.06300215305242039, -0.059195652630849714, 0.05500835770276129, -0.050530335216832575, 0.04588826182776691, -0.041147418980182975, 0.03644036431630966, -0.031824363458371197, 0.027351421529423867, -0.023114247990022624, 0.019112482471119123, -0.015464885754766006, 0.012147524990779783, -0.0091645395258966, 0.006569474546347768, -0.00427083425342138, 0.002425960126057855, -0.0008868541640847099, -0.00036214529097330195, 0.0012766874682899694, -0.0021151991714688746, 0.002382871183639358, -0.002598091265094194, 0.002681351089712699, -0.002606289493665915, 0.010733538996179865]","[0.0, 0.18880137601024174, 0.0, -0.1664964773412686, 0.0, 0.14446035312549954, 0.0, -0.12286637166068466, 0.0, 0.1018780768588895, 0.0, -0.08164807210589763, 0.0, 0.06231648327599115, 0.0, -0.04400917897556856, 0.0, 0.02684974534243084, 0.0, -0.010934675192259392, 0.0, -0.0036523633462458693, 0.0, 0.016852773111770813, 0.0, -0.028625986094532922, 0.0, 0.03893513813725699, 0.0, -0.04778069045561026, 0.0, 0.05516869864143411, 0.0, -0.06113782781131562, 0.0, 0.06573707163377049, 0.0, -0.06901400306078442, 0.0, 0.07105573072262668, 0.0, -0.07193782995135256, 0.0, 0.07177255975812304, 0.0, -0.07066333651886617, 0.0, 0.06870366261242747, 0.0, -0.0660242173365751, 0.0, 0.06272047529556894, 0.0, -0.05893261541015066, 0.0, 0.05476415270174016, 0.0, -0.050304775551184316, 0.0, 0.04568082287229238, 0.0, -0.04095728668008526, 0.0, 0.03626648954089308, 0.0, -0.03166552201111354, 0.0, 0.027206278597030873, 0.0, -0.022981425272116763, 0.0, 0.018990627787338864, 0.0, -0.015352744007145983, 0.0, 0.012044010198341063, 0.0, -0.009068805899435324, 0.0, 0.006480985221342191, 0.0, -0.004189427170376552, 0.0, 0.0023519108614328647, 0.0, -0.0008209357399329357, 0.0, -0.0004186089188767179, 0.0, 0.0013217748370284207, 0.0, -0.002146353112879283, 0.0, 0.002396865039396747, 0.0, -0.002590998579263585, 0.0, 0.0026485275190508218, 0.0, -0.0025423668327865887, 0.0, 0.010632575405546539]","True","False","0.00722406298401701","-2.4511485777756192e-06","0.0014854825075914255","0.0003122633950602125","0.007224369005064735","0.000988531942834524"
"512","101","1","0.00183146578586","23.045966148376465","[0.18882392888323596, -0.16655894329112292, 0.14455483841973765, -0.12298230748239311, 0.10201251051060119, -0.08178806245374616, 0.0624616032405011, -0.044164160403705584, 0.0270022327899159, -0.011083914005211451, -0.003510052527678568, 0.016717680121038823, -0.02849580420338148, 0.03881887145045998, -0.047678920630953706, 0.05508188856195357, -0.06107248222621512, 0.06567823961104677, -0.06897167602795917, 0.07103123736850059, -0.07193298139479458, 0.07177674319678409, -0.07066950881536396, 0.06872274323651262, -0.06604936911987774, 0.0627623982952321, -0.05897262239088626, 0.05481176680504235, -0.05035318405361722, 0.045736682163115897, -0.04104537966565184, 0.03635521679622468, -0.03175303851020204, 0.027312197556898975, -0.02309256043110372, 0.019140602664269365, -0.015491340621475374, 0.012171602967243154, -0.009226774050995621, 0.006577775218414475, -0.004367912111937098, 0.002487499635281698, -0.0009245512984784646, -0.00031868645383319237, 0.0012588704113125643, -0.001923467976485919, 0.0023463793797579785, -0.0025626068102870474, 0.002602154968795403, -0.0024965645530059277, 0.010509000344582218]","[0.0, 0.18881940428260924, 0.0, -0.16654713454563502, 0.0, 0.1445384847674464, 0.0, -0.12296381865356619, 0.0, 0.10199396611938437, 0.0, -0.08177121492212963, 0.0, 0.06244788439211434, 0.0, -0.04415469192258589, 0.0, 0.026997840453305808, 0.0, -0.011085145453337424, 0.0, -0.0035029066725597966, 0.0, 0.01670456221662768, 0.0, -0.028476863194955706, 0.0, 0.03879443485198643, 0.0, -0.04764946515887908, 0.0, 0.05504801034942685, 0.0, -0.06103486714804058, 0.0, 0.06563763447074847, 0.0, -0.06892886104968557, 0.0, 0.07098700067877611, 0.0, -0.07188809592873617, 0.0, 0.07173194628273298, 0.0, -0.07062548479012531, 0.0, 0.06868010932461505, 0.0, -0.06600866463285723, 0.0, 0.06272407702729271, 0.0, -0.058937048162769304, 0.0, 0.054779211935927205, 0.0, -0.050323830562105466, 0.0, 0.04571062515749852, 0.0, -0.04102263290594222, 0.0, 0.03633571980035237, 0.0, -0.03173666472100959, 0.0, 0.0272987633567048, 0.0, -0.02308183467270946, 0.0, 0.01913231631824567, 0.0, -0.015485196202112448, 0.0, 0.01216728353170202, 0.0, -0.009223951655499942, 0.0, 0.006576118649824657, 0.0, -0.0043670935552051204, 0.0, 0.0024872013065177214, 0.0, -0.0009244708386348088, 0.0, -0.0003188314755157748, 0.0, 0.0012593383104596541, 0.0, -0.001924489038241075, 0.0, 0.002348152219645667, 0.0, -0.0025652949113161108, 0.0, 0.002605883240080763, 0.0, -0.0025014157801686067, 0.0, 0.010515038282457773]","True","False","0.0006825551647753336","-1.3266258713784396e-07","0.0009006586921032347","0.0009165345372686271","0.0044007481696577404","0.004615232549255846"
"1024","101","1","0.0009384064470936","23.468685150146484","[0.1888106575070162, -0.1665173465754052, 0.14449087868185168, -0.12289400196254155, 0.10189852040401161, -0.08165685380656583, 0.062311471491928054, -0.04399492339668897, 0.026825184008089042, -0.010900139304077454, -0.0036994703995589166, 0.016909696321431255, -0.02868486291807049, 0.03899922412786909, -0.04784714609081597, 0.055241780065690166, -0.06121260848734934, 0.0658045665029198, -0.06907982044605214, 0.07111439524821841, -0.07199503259171662, 0.0718178384687425, -0.07069028019485031, 0.06871934454719789, -0.06602300001650513, 0.06270966017747227, -0.058912120768280285, 0.054711986012426744, -0.0502511848735817, 0.04561956367261177, -0.040906844329919215, 0.03620444880798413, -0.03159708112451046, 0.027153328849737216, -0.02292974435369135, 0.018973223355663597, -0.015322273163374114, 0.012006259925194248, -0.009044335230191294, 0.00644467634560052, -0.004206597913842668, 0.002322645799601141, -0.0007784190320468056, -0.00044552477034988375, 0.001372362206043647, -0.002028471977251487, 0.0024444123471957296, -0.002649813544462364, 0.0026784516738859376, -0.0025604637720777904, 0.010680516991039493]","[0.0, 0.1888106377370981, 0.0, -0.16651731058784103, 0.0, 0.1444908295438332, 0.0, -0.12289394310594295, 0.0, 0.1018984554735129, 0.0, -0.08165678651298736, 0.0, 0.062311405473280956, 0.0, -0.04399486209128612, 0.0, 0.02682513054332882, 0.0, -0.01090009640349377, 0.0, -0.003699500489626966, 0.0, 0.016909711884350198, 0.0, -0.028684862798188816, 0.0, 0.03899920774096412, 0.0, -0.047847113414846945, 0.0, 0.05524173161360302, 0.0, -0.0612125452641663, 0.0, 0.06580448994953775, 0.0, -0.06907973237234225, 0.0, 0.0711142977585836, 0.0, -0.07199492800604164, 0.0, 0.07181772924157209, 0.0, -0.0706901688354992, 0.0, 0.06871923354401017, 0.0, -0.06602289176598093, 0.0, 0.06270955692167861, 0.0, -0.05891202454009326, 0.0, 0.0547118985942123, 0.0, -0.05025110776082295, 0.0, 0.04561949805444071, 0.0, -0.04090679107779433, 0.0, 0.03620440847455788, 0.0, -0.03159705395274262, 0.0, 0.027153314791365145, 0.0, -0.02292974309525116, 0.0, 0.01897323435097171, 0.0, -0.015322295671284413, 0.0, 0.012006293051468987, 0.0, -0.009044377972344721, 0.0, 0.0064447276396183435, 0.0, -0.004206656681602575, 0.0, 0.002322710996084537, 0.0, -0.0007784896917038249, 0.0, -0.0004454494887831802, 0.0, 0.0013722829766760133, 0.0, -0.002028389266402699, 0.0, 0.0024443263752431887, 0.0, -0.0026497242506637398, 0.0, 0.00267835868367233, 0.0, -0.0025603663675790858, 0.0, 0.010680413648942044]","True","False","1.6968685316864907e-06","-9.092975583602225e-08","4.113308986651623e-05","4.1042865996342186e-05","0.00019896792346638104","0.00019801311503376412"
"2048","101","1","0.0001712423617491","23.987489223480225","[0.18881121294038947, -0.16652740698666024, 0.144501018573095, -0.12291154048096761, 0.10191987947109885, -0.08168003317305474, 0.06233759992186225, -0.04402481050701261, 0.026856556704315884, -0.010931409975927908, -0.0036682172340519715, 0.016877698361720376, -0.028652511207653893, 0.03896804386204146, -0.04781835462014854, 0.05521519911490946, -0.061187933583290874, 0.0657828457398818, -0.06906180096598508, 0.07110029575902656, -0.07198545430327832, 0.07181391837103483, -0.07068997647123487, 0.06872381922368011, -0.06602968437588923, 0.06272358306681404, -0.058920925620035126, 0.05473449936501765, -0.05027295819456624, 0.045639541805372164, -0.04093065440524052, 0.036234446736308344, -0.03162978026943147, 0.027185842542687595, -0.02296181108830579, 0.01900635061477578, -0.01535723520292386, 0.012041965117115933, -0.009078644723271606, 0.006476510505556921, -0.00423594317843119, 0.0023495485660401227, -0.0008035267760128441, -0.0004212238739688717, 0.0013490210275907512, -0.00200750200664075, 0.002426029170623864, -0.002635106707466497, 0.0026676577034141554, -0.0025520655403661174, 0.010661549601179618]","[0.0, 0.18881031997847014, 0.0, -0.16652506290646252, 0.0, 0.14449790658626202, 0.0, -0.12290824329766083, 0.0, 0.10191688261310058, 0.0, -0.08167772902075746, 0.0, 0.062336292501711854, 0.0, -0.04402472101304697, 0.0, 0.026857829712834083, 0.0, -0.010934120281966206, 0.0, -0.0036640572495199395, 0.0, 0.016872130941030163, 0.0, -0.028645625128064088, 0.0, 0.03895996619162233, 0.0, -0.04780924246744126, 0.0, 0.05520523152163155, 0.0, -0.06117730370595828, 0.0, 0.06577175346042421, 0.0, -0.06905044606143267, 0.0, 0.0710888717450099, 0.0, -0.07197414304660213, 0.0, 0.07180288554438208, 0.0, -0.07067936789954014, 0.0, 0.0687137581480238, 0.0, -0.0660202696375689, 0.0, 0.06271488819127569, 0.0, -0.058912998757684056, 0.0, 0.054727364024835204, 0.0, -0.05026661468874452, 0.0, 0.045633969309656866, 0.0, -0.040925813529773175, 0.0, 0.036230282494733965, 0.0, -0.03162622533013559, 0.0, 0.027182820646352253, 0.0, -0.022959240520571557, 0.0, 0.019004147630301782, 0.0, -0.015355317306342348, 0.0, 0.012040254118069523, 0.0, -0.009077069497480671, 0.0, 0.006475009410165291, 0.0, -0.004234466085181818, 0.0, 0.0023480584905498044, 0.0, -0.0008020010968324523, 0.0, -0.00042279259759213844, 0.0, 0.0013506246183549778, 0.0, -0.00200911658131051, 0.0, 0.002427615360630842, 0.0, -0.0026366101388049356, 0.0, 0.002669009685484429, 0.0, -0.002553183909671141, 0.0, 0.010662349096624522]","True","False","0.0001860401228197528","-1.4380621693454998e-08","0.00013348765085766166","0.00013976443303241473","0.0006382235211182669","0.0006985382458757211"
