"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated"
"101","101","1","inf","1.0449590682983398","[0.012449248925704127, -0.04460665462027168, 0.07860071707075646, -0.10457472830687464, 0.12581223011180773, -0.13054534492437553, 0.11707259907548287, -0.10103669989960001, 0.07618966431246209, -0.040276050072038924, 0.005275870567763178, 0.033237336170271255, -0.06526506940687506, 0.07106122262235737, -0.06290274991715751, 0.047341811554066845, -0.021376432255820917, 0.00287550124455723, 0.012952016334811599, -0.039141217454801695, 0.053946390834207686, -0.05446212811249434, 0.049427083489109264, -0.023720712554076383, -0.004560013953630781, 0.015344041018409605, -0.03392502873119423, 0.05332694303998371, -0.057088781065612604, 0.06285980379431787, -0.04307292385601583, -0.016173752577346594, 0.05934586442347972, -0.08336825310420952, 0.09306361742349016, -0.049977123072859, 0.0046687780819179, 0.010738357886981971, -0.061552171324660204, 0.10384949641411238, -0.09687059395994202, 0.10074093575412846, -0.01915437058058485, -0.15975281583752174, 0.19959487291436093, -0.15040854822176827, 0.06878914236718524, 0.32942403146041527, -0.5088323219538786, -0.6549504834656484, -0.1503305263872908]","[0.0, 0.01839187974959181, 0.0, -0.0580391707462633, 0.0, 0.09301038221051755, 0.0, -0.11126799022951553, 0.0, 0.12419112955526718, 0.0, -0.12932670092576184, 0.0, 0.11379504280132953, 0.0, -0.09473248994921754, 0.0, 0.06840021131565209, 0.0, -0.028545564491082146, 0.0, -0.0013686010505677489, 0.0, 0.026730904842169077, 0.0, -0.051723851466986256, 0.0, 0.06090610957790181, 0.0, -0.05912202925377396, 0.0, 0.051400792096832945, 0.0, -0.030990950728924157, 0.0, 0.002204617606811649, 0.0, 0.018762974116772867, 0.0, -0.03772797864499736, 0.0, 0.05373747045737298, 0.0, -0.05050178928959126, 0.0, 0.04241354460352435, 0.0, -0.030376162637052263, 0.0, 0.002208673302501535, 0.0, 0.021801145385623603, 0.0, -0.04107143624143969, 0.0, 0.057892536329265366, 0.0, -0.06084288364069064, 0.0, 0.041886636229332704, 0.0, -0.0173584193997352, 0.0, -0.00999941593502945, 0.0, 0.044442405971267515, 0.0, -0.06611630915411854, 0.0, 0.07186975181001909, 0.0, -0.06550423929197251, 0.0, 0.029104160375702466, 0.0, 0.02375546069041688, 0.0, -0.06345971176237114, 0.0, 0.10083516237972619, 0.0, -0.10925947312354115, 0.0, 0.06890976639879794, 0.0, 0.010752440228302273, 0.0, -0.10232204871069835, 0.0, 0.1865636043621593, 0.0, -0.17662917350538415, 0.0, 0.017910419641608777, 0.0, 0.28928968572710667, 0.0, -0.47183014833847103, 0.0, -0.6120251400865792, 0.0, -0.1430273862091579]","True"
"128","101","1","1.211615481184607","0.4976871013641357","[0.015261144594606823, -0.05376436955992623, 0.07995309173458673, -0.10837017786715471, 0.11862043083986064, -0.12053065781495688, 0.10742854437521471, -0.11198221324508227, 0.07349693485743099, -0.004450946293547084, 0.015760990021212985, -0.010618338555789756, -0.050683732674932265, 0.05581736547262849, -0.07929054335494087, 0.0642822064802507, -0.027144305018880564, 0.01738868081187926, 0.028448266765161587, -0.022380147243930008, 0.05198873192711197, -0.03593919067556923, 0.051103637817810466, -0.027949950495421767, 0.032625828936969005, 0.006210510984454227, -0.02276476087972481, 0.05568236176344685, -0.05791649929402555, 0.05552466982958469, -0.04069397622923288, 0.020070924048787776, 0.021371659941210187, -0.05378290404397781, 0.0715396822521415, -0.07374442816117249, 0.05940841762270199, -0.0288518771761303, -0.023369309260165158, 0.0627885608945072, -0.11371637829102219, 0.09768197193312665, -0.10172769587361588, -0.028777787337435277, 0.03160618329809185, -0.28918837628510263, 0.0479152369921259, -0.40313863682101075, -0.7368527019527229, 0.11717560983525847, 0.28677017419129275]","[0.0, 0.02128823616776302, 0.0, -0.05538441348954075, 0.0, 0.08779907996817751, 0.0, -0.10620829331760767, 0.0, 0.12235754113951479, 0.0, -0.1227230117865415, 0.0, 0.11412160588405786, 0.0, -0.0915056604396065, 0.0, 0.06643760046737607, 0.0, -0.03426805191792691, 0.0, 0.007044534329143635, 0.0, 0.022098588737329707, 0.0, -0.047763739438289765, 0.0, 0.05333588738300622, 0.0, -0.05766376869080175, 0.0, 0.05006308657162779, 0.0, -0.03627387100757487, 0.0, 0.013668587040919496, 0.0, 0.01117657679907247, 0.0, -0.028068873973134876, 0.0, 0.04423639358494107, 0.0, -0.050539004183680056, 0.0, 0.04931290264661738, 0.0, -0.03439775596046006, 0.0, 0.013176485657124808, 0.0, 0.006620717162307168, 0.0, -0.030279365010183953, 0.0, 0.04719584003989904, 0.0, -0.054311484243629866, 0.0, 0.05241586673931158, 0.0, -0.03598733381406606, 0.0, 0.008535086037663092, 0.0, 0.019099599761615987, 0.0, -0.04666260885044479, 0.0, 0.06607670085502798, 0.0, -0.06943984362411212, 0.0, 0.05476683083325283, 0.0, -0.023376366090286017, 0.0, -0.02248556288567801, 0.0, 0.060105118659609214, 0.0, -0.10250942168062853, 0.0, 0.09152621282769026, 0.0, -0.09312486616157302, 0.0, -0.028152056002889187, 0.0, 0.03182828933011095, 0.0, -0.2697564986487798, 0.0, 0.03861373261182097, 0.0, -0.37667972263041455, 0.0, -0.6960106893002793, 0.0, 0.11154644433743524, 0.0, 0.27267949134875]","True"
"256","101","1","0.1779044786138004","0.882580041885376","[0.019712761496387197, -0.05735883709941007, 0.09006138547802196, -0.10996998521950498, 0.12404357065190898, -0.12106157589504474, 0.1106967479217297, -0.08974178287095569, 0.07124953955085138, -0.0362140739733434, 0.006616778668441043, 0.024495479580862223, -0.042779654447882565, 0.06181302093951672, -0.05997399569591938, 0.05069308447614234, -0.03267218258918651, 0.00974148963416305, 0.00897560014498672, -0.031598698829477696, 0.04205156477657458, -0.05120053543853677, 0.04989887047742125, -0.03302322860423083, 0.015956634270702614, 0.01389328184766526, -0.035855711520668146, 0.03984007718011857, -0.05272556899504644, 0.05465552260380067, -0.03359368908456409, 0.005769790130563633, 0.01910814759823468, -0.04635078335908375, 0.06579354452746412, -0.06927394778985714, 0.05347167364633899, -0.022369573588617533, -0.02232623245168499, 0.06525826159578692, -0.10060951625714766, 0.09959628668704845, -0.07938799011173354, -0.014966721347590334, 0.06281620376520476, -0.24297476482669592, 0.08389028615255804, -0.33564067627711586, -0.754470801208534, 0.004064989264838008, 0.2328312748932513]","[0.0, 0.02045482353770552, 0.0, -0.0561204554480136, 0.0, 0.08756067413752858, 0.0, -0.11018675654631419, 0.0, 0.12179957257299501, 0.0, -0.1228622973825186, 0.0, 0.11410771259201544, 0.0, -0.09302152599847457, 0.0, 0.06650187388601707, 0.0, -0.034973711431620334, 0.0, 0.006270407944742927, 0.0, 0.02413390861738285, 0.0, -0.044108286296844657, 0.0, 0.058307340259759914, 0.0, -0.05898199593229582, 0.0, 0.050684058315287606, 0.0, -0.034307515464903106, 0.0, 0.011555459385298608, 0.0, 0.009540189925443721, 0.0, -0.031093538933208143, 0.0, 0.04396723033725156, 0.0, -0.05095359275825721, 0.0, 0.04776421763582858, 0.0, -0.03423225541154109, 0.0, 0.015058633506437689, 0.0, 0.010594277967713252, 0.0, -0.032447397973126686, 0.0, 0.04629613931232237, 0.0, -0.05420039662282727, 0.0, 0.05199903197360725, 0.0, -0.03348302797325974, 0.0, 0.007840285553022325, 0.0, 0.02080326231083765, 0.0, -0.04763913870174513, 0.0, 0.06629986153321143, 0.0, -0.06886407222677221, 0.0, 0.052741590259754, 0.0, -0.020953505642802545, 0.0, -0.022878503874029663, 0.0, 0.06587257645196035, 0.0, -0.09935123032130336, 0.0, 0.09853558218940606, 0.0, -0.07816340967986996, 0.0, -0.016078144221214556, 0.0, 0.06287128388893552, 0.0, -0.24220474888132565, 0.0, 0.08126816498994593, 0.0, -0.3315975794713898, 0.0, -0.7475154080437567, 0.0, 0.0024851674328059195, 0.0, 0.2329772561782158]","True"
"512","101","1","0.9888492571606096","1.0587410926818848","[0.019476978126309906, -0.05576860713362042, 0.08648053684516188, -0.1097068168177481, 0.12205521887007817, -0.12313875124082174, 0.11323836616377356, -0.09265954891133696, 0.06658251430793433, -0.03555258278931048, 0.005064068359040656, 0.02244049833908554, -0.04404085451090658, 0.05634536621356532, -0.05841562071001045, 0.04975110929937953, -0.03387140126375667, 0.01409374996721681, 0.007859860594279108, -0.028751335321153343, 0.044091739456436, -0.05003182989274663, 0.04640646468467422, -0.03551429362015736, 0.016887163460059078, 0.007993561866366763, -0.02948515410443498, 0.04460190277222307, -0.055669798181945486, 0.04925422693666847, -0.036199997914706905, 0.011236894115190134, 0.01702027728241685, -0.04374843793925202, 0.06263511499607566, -0.06754792783727832, 0.05545989206604583, -0.026656044738005494, -0.01401896240231449, 0.057212512967060945, -0.09080120597846779, 0.10143359591799725, -0.07849166904863888, 0.019185814052903327, 0.06750525200340911, -0.15618760719617286, 0.2009419653362643, -0.13542701601734738, -0.12691874708517487, 0.6869483421452508, 0.4664004705926483]","[0.0, 0.01929829510831235, 0.0, -0.055598908956189685, 0.0, 0.08655276062169584, 0.0, -0.10973870594965496, 0.0, 0.12221434323052678, 0.0, -0.12335656119597468, 0.0, 0.11307295094866382, 0.0, -0.09255486650305492, 0.0, 0.06637153585772101, 0.0, -0.035744269816151836, 0.0, 0.005280345560551062, 0.0, 0.022426242970538763, 0.0, -0.04414244169905107, 0.0, 0.056487275968028744, 0.0, -0.058288870567351644, 0.0, 0.04969282499525596, 0.0, -0.03395703320104046, 0.0, 0.014176627793511953, 0.0, 0.007927321760612848, 0.0, -0.028938971433316737, 0.0, 0.04400309352443384, 0.0, -0.04976659347649957, 0.0, 0.04655056039965175, 0.0, -0.035774729180641264, 0.0, 0.016642158846732286, 0.0, 0.008005603288273285, 0.0, -0.029175893259935373, 0.0, 0.045106822680460096, 0.0, -0.05533488517477721, 0.0, 0.04950281146815572, 0.0, -0.03610107321759591, 0.0, 0.011245923880676023, 0.0, 0.01710473019508335, 0.0, -0.043882816817214704, 0.0, 0.0626184780731057, 0.0, -0.06748602695837881, 0.0, 0.05535918936179515, 0.0, -0.026599687548858393, 0.0, -0.014007731272346956, 0.0, 0.057179493579737145, 0.0, -0.09072445265294274, 0.0, 0.10138589235065618, 0.0, -0.07854382777864992, 0.0, 0.019262551377827924, 0.0, 0.06744659123763964, 0.0, -0.15613848410690195, 0.0, 0.20100146576019623, 0.0, -0.13549909872671662, 0.0, -0.12693431178569758, 0.0, 0.6869731905350449, 0.0, 0.4662126817610008]","True"
"1024","101","1","0.0054330249135106","1.477632999420166","[0.01886965261245489, -0.05569436195982384, 0.08747604775487483, -0.10958234588308693, 0.12197241224182546, -0.12373725416369513, 0.11277661132059459, -0.09331519841329546, 0.0659273336031011, -0.035587829009064, 0.004457288572222404, 0.023092671937396888, -0.04390267846117052, 0.055627234392477666, -0.057661556079324106, 0.05024870151881284, -0.03463967232052484, 0.013770007239783244, 0.00877963847520325, -0.029063316011404522, 0.043617215778968974, -0.05002131006950745, 0.0469331030644576, -0.03475164993525459, 0.015457501183386776, 0.007277893162569507, -0.029143312836322818, 0.0456641731682625, -0.05340977871011011, 0.05014218322042028, -0.035537637412305256, 0.011709755052612455, 0.01696438085668798, -0.043942051554791944, 0.06272589055289107, -0.06748147605880149, 0.05538356682448353, -0.026325504126775198, -0.014298277187044047, 0.05751473426213202, -0.09090691359534996, 0.10109750849526593, -0.07804234415551285, 0.018459592034677702, 0.06829990057748823, -0.15618092534301872, 0.20013579033446524, -0.13394921019186082, -0.12800210871923431, 0.6845804922656217, 0.46621516932477197]","[0.0, 0.018813529337372667, 0.0, -0.05558485489691975, 0.0, 0.08742242745877574, 0.0, -0.10966741164074095, 0.0, 0.12213205744348211, 0.0, -0.12380970623635915, 0.0, 0.11270675295241905, 0.0, -0.09314802202452507, 0.0, 0.06585385976001337, 0.0, -0.03568727617773114, 0.0, 0.004629170714916236, 0.0, 0.023027675349289414, 0.0, -0.04399633229945729, 0.0, 0.05571657374014874, 0.0, -0.057636496846152775, 0.0, 0.0501545515816927, 0.0, -0.034688266489627174, 0.0, 0.013863022052412133, 0.0, 0.008815167273941434, 0.0, -0.029180076367101335, 0.0, 0.04356543364602325, 0.0, -0.049830951769232246, 0.0, 0.04700415573061642, 0.0, -0.03497039009706338, 0.0, 0.015347000595356122, 0.0, 0.007313368573285791, 0.0, -0.028900364438328243, 0.0, 0.04599649737238105, 0.0, -0.053290327969550425, 0.0, 0.0502787851307302, 0.0, -0.035495852957822385, 0.0, 0.011673775537195605, 0.0, 0.017034860063729014, 0.0, -0.04400540368730632, 0.0, 0.0627414299952625, 0.0, -0.06743724486756489, 0.0, 0.055310506501956735, 0.0, -0.026276813195418657, 0.0, -0.014315678926627953, 0.0, 0.05750212721333122, 0.0, -0.09086176217670563, 0.0, 0.10104784345832199, 0.0, -0.07801496154105164, 0.0, 0.01847432945760303, 0.0, 0.06826874070716524, 0.0, -0.1561641054097198, 0.0, 0.20014124368869526, 0.0, -0.13395825594779864, 0.0, -0.12800614744086886, 0.0, 0.6845780673772283, 0.0, 0.4662963704101612]","False"
"2048","101","1","0.0025668596755311","4.536381721496582","[0.019256492474406812, -0.055858926982264016, 0.08698416202498527, -0.10975393236113058, 0.12213653990620668, -0.12314230031979251, 0.11298471241468686, -0.09315868674950321, 0.0662194938905028, -0.035473073996901604, 0.004546599741003329, 0.022919281521655316, -0.043787302120161825, 0.05574698523397122, -0.05773614994244239, 0.050128622329444456, -0.034584765450884, 0.013886188870202957, 0.008530514586415495, -0.028842000554139383, 0.043528023109083255, -0.04996300766259778, 0.04699064486482649, -0.034890827378197146, 0.01575059654268566, 0.007058533265016993, -0.029026282415193314, 0.045757790940014795, -0.05362433534452882, 0.0503033055513319, -0.03561439657344446, 0.011713438514195562, 0.016758169281296153, -0.04370852319319595, 0.06252740888712456, -0.0676720900481333, 0.055428224321869106, -0.026720283928844003, -0.014089866547302167, 0.05726043713140747, -0.09078671161636136, 0.10133384498302044, -0.0782832474852845, 0.019020425935007315, 0.06756659840260906, -0.155953607109003, 0.20044804980588976, -0.13472123732576252, -0.12689774925677982, 0.6846009763563781, 0.4649009451286835]","[0.0, 0.019203933279029, 0.0, -0.05575414928313978, 0.0, 0.08693860189824554, 0.0, -0.10982708010633013, 0.0, 0.12227585335886662, 0.0, -0.1232071155497692, 0.0, 0.11292188803034814, 0.0, -0.09301404587493614, 0.0, 0.06615213381381571, 0.0, -0.03556345636953485, 0.0, 0.004705956458023001, 0.0, 0.022863200800217986, 0.0, -0.04387649670466382, 0.0, 0.0558314143219836, 0.0, -0.05770340456374187, 0.0, 0.05005128413325889, 0.0, -0.03462711779389914, 0.0, 0.013978892713854538, 0.0, 0.008569274858082229, 0.0, -0.0289569414097256, 0.0, 0.04347056128305986, 0.0, -0.049793890259533555, 0.0, 0.04706509458597566, 0.0, -0.035081420294852395, 0.0, 0.015643304878371893, 0.0, 0.007078435591424924, 0.0, -0.028806064568618485, 0.0, 0.046085979646437, 0.0, -0.05348689834909778, 0.0, 0.05044221248142696, 0.0, -0.03557118948737357, 0.0, 0.01167744448196854, 0.0, 0.01682491861417046, 0.0, -0.04376078477366384, 0.0, 0.06253650819793757, 0.0, -0.06763156482459151, 0.0, 0.05536870371176929, 0.0, -0.026670961180896454, 0.0, -0.014104144433320365, 0.0, 0.05723757329497389, 0.0, -0.09074634388399413, 0.0, 0.10129255460267644, 0.0, -0.0782699574647473, 0.0, 0.01903337582343982, 0.0, 0.06754069147916084, 0.0, -0.15593745539728776, 0.0, 0.20045438200054833, 0.0, -0.13473849612448552, 0.0, -0.12689098438075583, 0.0, 0.6846083722438407, 0.0, 0.46496304351654144]","False"
