"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","sup_diff","sup_diff_rec","max_abs_coef","max_abs_rec","diff_coef_vs_gt262144","diff_rec_vs_gt262144","sup_diff_vs_gt262144","sup_diff_rec_vs_gt262144"
"51","51","1","inf","115.38137698173524","[0.01246030051157033, -0.03675966831472171, 0.06901829533248154, -0.11686649295904085, 0.1575039000845765, -0.16352694536583445, 0.14429836915215344, -0.11334272543510109, 0.0620940791800231, -0.0087737785250533, -0.017628687578057422, 0.04620865403908323, -0.09699170314065497, 0.11840171918371376, -0.10019389368431618, 0.0774125115844743, 6.44948109132448e-05, -0.14230478565594434, 0.19903046227047885, -0.13824403260981183, 0.0840411791513245, 0.07210301086396159, -0.40720200686003305, 0.3477900548192578, 0.7331658212831855, 0.21801880836390677]","[0.0, 0.020734584233528964, 0.0, -0.06133848755740533, 0.0, 0.09673503176218387, 0.0, -0.12259562683419464, 0.0, 0.13777461951292674, 0.0, -0.14273621078820664, 0.0, 0.13362498045174892, 0.0, -0.10922486269146528, 0.0, 0.07323663907844793, 0.0, -0.02840304490987145, 0.0, -0.022915166162377675, 0.0, 0.06885574510811639, 0.0, -0.09870435643673682, 0.0, 0.1096470764423083, 0.0, -0.09527961056276182, 0.0, 0.04718419455735113, 0.0, 0.023722817792127406, 0.0, -0.09852988768053353, 0.0, 0.15988155275050508, 0.0, -0.1701298579822469, 0.0, 0.081276013662951, 0.0, 0.11148589541189582, 0.0, -0.33901933406212603, 0.0, 0.3332020139478535, 0.0, 0.6809999479571651, 0.0, 0.20841557626811613]","True","False","0.8050707568867057","0.683370006598782","0.276320950400279","-3.191427018034432e-05","","","",""
"64","51","1","0.5134814188557031","70.20607471466064","[0.02387945299363426, -0.059063124012154265, 0.09380403460723714, -0.11793179951343348, 0.1265355162872421, -0.16351979962108562, 0.08958223561262571, -0.13277853710441376, 0.08994133645541844, -0.025222921204244853, -0.02207957481953011, 0.06717616280502839, -0.07135246479005175, 0.09472555339778761, -0.0909301445564402, 0.0703716708132724, -0.024609306868108596, -0.05258592686813139, 0.12016129628996558, -0.18164208099675244, 0.1678617165740504, -0.05114754909611669, -0.22209921821549403, 0.6852905831898242, 0.5751504861354343, 0.010381348491903794]","[0.0, 0.01955361695209763, 0.0, -0.058399031831100706, 0.0, 0.09210553773039293, 0.0, -0.11863141829651316, 0.0, 0.13518908313391625, 0.0, -0.1378921067239555, 0.0, 0.13048616894540163, 0.0, -0.10714970733144277, 0.0, 0.07491432925071353, 0.0, -0.033829413677399084, 0.0, -0.01119071792115378, 0.0, 0.05185391012389788, 0.0, -0.08644645129821482, 0.0, 0.10189427971743018, 0.0, -0.09693333347630953, 0.0, 0.06647070195462783, 0.0, -0.012795045008338696, 0.0, -0.05577041688832172, 0.0, 0.12549726780141043, 0.0, -0.1696963380288362, 0.0, 0.1570524906863853, 0.0, -0.043711216946339414, 0.0, -0.21875588090967585, 0.0, 0.6425061535017137, 0.0, 0.5411975674997098, 0.0, 0.011035380215203467]","True","False","0.3413638387056655","0.176830863931404","0.1853354493662138","-1.6169766047680056e-05","","","",""
"128","51","1","0.3099184967724307","71.61429190635681","[0.022142063929581377, -0.06627015615417305, 0.09846891056577217, -0.11770116024705043, 0.13507075737771404, -0.14402320839372632, 0.13907041800543615, -0.10907873338930765, 0.06836210536184528, -0.02780235607140013, -0.01527154328697496, 0.06621701200170257, -0.0968134101137008, 0.09914040990706509, -0.09919400557190465, 0.05195873417838505, 0.003166614852674104, -0.08004360954331174, 0.1471992300584322, -0.17671631568946605, 0.12458847839174994, 0.046420111147217114, -0.32305896307673965, 0.4695708129074161, 0.6555983755071582, 0.12887942870795818]","[0.0, 0.02077235208427395, 0.0, -0.06055715670221894, 0.0, 0.09545626044908737, 0.0, -0.1224594561222761, 0.0, 0.1386066470299505, 0.0, -0.14215995513358176, 0.0, 0.1318688689152136, 0.0, -0.10823274103046118, 0.0, 0.07270717603655008, 0.0, -0.028800182722566424, 0.0, -0.018195769752549988, 0.0, 0.061378410578795846, 0.0, -0.09328031957491682, 0.0, 0.10638714968856504, 0.0, -0.09476945570365825, 0.0, 0.056124471273511084, 0.0, 0.006201085898370446, 0.0, -0.0809852598939773, 0.0, 0.14728553306515108, 0.0, -0.17376986790183763, 0.0, 0.12100385766451975, 0.0, 0.047196258385090534, 0.0, -0.31913887894330273, 0.0, 0.4632828139406785, 0.0, 0.6462177851904128, 0.0, 0.12755870202542646]","True","False","0.439525817255062","0.4136829349548961","0.0398807141686072","-8.347540807474019e-07","","","",""
"256","51","1","0.2690529543927346","70.02412009239197","[0.019695279184115386, -0.05969122073844457, 0.09112736479739318, -0.12055726973012071, 0.1336280424881229, -0.13834972552247685, 0.1311529905574022, -0.10828168727738245, 0.07464539061833009, -0.03497513115357902, -0.010683289076281697, 0.05462560460973301, -0.0868314442100528, 0.10223017216782684, -0.09639281326864063, 0.06628088827374559, -0.013532463907137717, -0.05577719217271147, 0.1272662476982754, -0.17186337438524354, 0.1574099840962665, -0.04025553171788548, -0.2251451859361422, 0.6378291999052416, 0.5509780782549676, 0.015344553250717945]","[0.0, 0.020096985516188753, 0.0, -0.05871371243289148, 0.0, 0.09258501960533747, 0.0, -0.11883489297678582, 0.0, 0.13493273772838865, 0.0, -0.13902055679671393, 0.0, 0.13005368426047004, 0.0, -0.10823719164879844, 0.0, 0.07507518543336705, 0.0, -0.03373134591999182, 0.0, -0.011124972710706019, 0.0, 0.05339286595695539, 0.0, -0.0862203838104883, 0.0, 0.10264349159661015, 0.0, -0.09703564544855836, 0.0, 0.06642566064464389, 0.0, -0.012435038131972578, 0.0, -0.05712013675928218, 0.0, 0.12642152676396218, 0.0, -0.17080262781938288, 0.0, 0.15616969103787776, 0.0, -0.040210714975764464, 0.0, -0.22412886387226622, 0.0, 0.6352580125477831, 0.0, 0.548920498450651, 0.0, 0.015481691252459089]","True","False","0.1857881685174015","0.1806446862455188","0.0103766835466245","-2.264824439102142e-09","","","",""
"512","51","1","0.0214450346289789","69.77503991127014","[0.02008640577326559, -0.05866962840956865, 0.0925322358896103, -0.11864365296001987, 0.13469320010314087, -0.13896258264966516, 0.12985866249975708, -0.10809427987369723, 0.07545930065721618, -0.034195213293886306, -0.010970034865631854, 0.05336960368273167, -0.08561016093636864, 0.1023346592161983, -0.09690330098645375, 0.06653067668685034, -0.013922273555324364, -0.0557651054924863, 0.12475717960059618, -0.17022154726291988, 0.15741320084539623, -0.04517468611998582, -0.2141336696243408, 0.6475144194827647, 0.5400193941103474, 0.006592989622317159]","[0.0, 0.020073784367528, 0.0, -0.058640097902728866, 0.0, 0.09246246789704364, 0.0, -0.11867880186068801, 0.0, 0.1347565999149984, 0.0, -0.13886047588429612, 0.0, 0.1299579653826917, 0.0, -0.10823367319100857, 0.0, 0.07519540566814253, 0.0, -0.03398312382014695, 0.0, -0.010762292120966169, 0.0, 0.0529696528283052, 0.0, -0.08580436149292262, 0.0, 0.10236757022526573, 0.0, -0.09704535978220684, 0.0, 0.06687253987294686, 0.0, -0.013394517100542739, 0.0, -0.05571687900469418, 0.0, 0.12494000033652713, 0.0, -0.16996166208153568, 0.0, 0.15725484605857654, 0.0, -0.04509050693047377, 0.0, -0.2140467151381122, 0.0, 0.6469887478910701, 0.0, 0.5396097149139899, 0.0, 0.006657980487083327]","True","False","0.1775551499517214","0.1757643779178124","0.0021292225931837","-7.90220211488446e-09","","","",""
"1024","51","1","0.006872862133688","71.23375916481018","[0.020081267982951883, -0.05872080696024838, 0.0926425110725209, -0.11876433611896606, 0.13486325690488082, -0.13885736514384273, 0.1300208384778835, -0.10823674366109302, 0.07505149575186885, -0.03398976485217272, -0.010958119507978191, 0.05309212658968357, -0.08596279233725831, 0.10243924927866085, -0.09707598208392107, 0.06675363882680813, -0.013015670805062387, -0.05623591995394935, 0.12538151633699446, -0.17019160711570422, 0.1569060884069896, -0.043488262645549815, -0.21731651055986775, 0.6433895586006809, 0.5427393591112072, 0.00933910867824505]","[0.0, 0.020083687300355264, 0.0, -0.05869051927365912, 0.0, 0.09254324413098083, 0.0, -0.11877476564299708, 0.0, 0.13486505415558764, 0.0, -0.13894365609350987, 0.0, 0.13000666844191233, 0.0, -0.10822420146595012, 0.0, 0.07512393553176122, 0.0, -0.033871644324208576, 0.0, -0.01091743271043107, 0.0, 0.053129122485621044, 0.0, -0.08594807495080489, 0.0, 0.10244977083109273, 0.0, -0.09702642941347939, 0.0, 0.06670308951854781, 0.0, -0.013048883429297928, 0.0, -0.05618269442788111, 0.0, 0.12542245847894723, 0.0, -0.17018517187088192, 0.0, 0.15684231120346898, 0.0, -0.04348405073125135, 0.0, -0.21726845543666745, 0.0, 0.6432881885380377, 0.0, 0.5426417201137836, 0.0, 0.009351523013444654]","True","False","0.1771164244446628","0.1771754296238472","0.0004943005637421","-2.2757002948736726e-09","","","",""
"2048","51","1","0.0051827134833994","70.80567598342896","[0.020073513608310355, -0.058647089897233204, 0.09250041333978415, -0.11872224515269966, 0.13476860446988714, -0.13889668213058481, 0.1299735589462912, -0.10823820006519855, 0.07515891735977195, -0.033950760768308226, -0.010789384163735321, 0.05304136401309593, -0.08583473305792197, 0.10240134656814755, -0.09704103799410026, 0.06683285877548552, -0.013281769297371045, -0.05587102564037497, 0.12506315430483123, -0.1699794047395745, 0.15711809721354317, -0.04467330292551469, -0.21472485488181603, 0.6461437250511425, 0.5402882279872034, 0.007184784519809464]","[0.0, 0.020074464962430347, 0.0, -0.05864881723158098, 0.0, 0.0924941893853281, 0.0, -0.11871803178962831, 0.0, 0.1347785450239551, 0.0, -0.13889507766159526, 0.0, 0.12997539214347742, 0.0, -0.10823703119216768, 0.0, 0.07516385122236063, 0.0, -0.03394539210555298, 0.0, -0.010798671065331906, 0.0, 0.053036217377287795, 0.0, -0.0858345182611059, 0.0, 0.10240019075599655, 0.0, -0.09704095751907788, 0.0, 0.06682579747115029, 0.0, -0.013279891232838407, 0.0, -0.05586160552154683, 0.0, 0.1250639674383907, 0.0, -0.16998104966939642, 0.0, 0.1571160067258922, 0.0, -0.04467289570538219, 0.0, -0.21472317018563608, 0.0, 0.6461375983694225, 0.0, 0.5402848360140697, 0.0, 0.007184059753774275]","True","False","0.175990602987018","0.1759873327561842","6.02934493201257e-05","-9.991799831965409e-09","","","",""
"4096","51","1","0.0012691193099432","71.7998960018158","[0.020076786802210093, -0.0586394159274582, 0.09247980921561819, -0.11869749602880347, 0.13479675248311007, -0.1388732045128272, 0.12997064067742709, -0.10822015844460689, 0.07517089712455349, -0.03395360748012404, -0.010786653994265493, 0.05299306471319226, -0.08581540803020073, 0.1023689148272986, -0.09702389994074898, 0.06684898177667191, -0.013349887774318007, -0.0557630221116509, 0.12497149247575304, -0.16993670124864022, 0.15717656713937853, -0.04496889875740275, -0.21409953984146304, 0.6468232965434064, 0.5396956324164878, 0.006653675310776979]","[0.0, 0.020076786802373826, 0.0, -0.05863941592706458, 0.0, 0.09247980921580609, 0.0, -0.11869749602896772, 0.0, 0.13479675248290046, 0.0, -0.13887320451310148, 0.0, 0.12997064067722686, 0.0, -0.10822015844439545, 0.0, 0.07517089712480464, 0.0, -0.033953607480175646, 0.0, -0.010786653994197058, 0.0, 0.052993064713318494, 0.0, -0.08581540803039234, 0.0, 0.1023689148269025, 0.0, -0.09702389994116914, 0.0, 0.0668489817762677, 0.0, -0.01334988777440085, 0.0, -0.055763022111353644, 0.0, 0.1249714924758622, 0.0, -0.16993670124857202, 0.0, 0.15717656713978986, 0.0, -0.04496889875700344, 0.0, -0.214099539841555, 0.0, 0.6468232965432075, 0.0, 0.5396956324164608, 0.0, 0.006653675310893812]","False","False","0.1756952887699266","0.1756952887698238","-5.997189174644646e-05","-5.997189497841671e-05","","","",""
"8192","51","1","0.0002130805119836","72.89956402778625","[0.020078420406212542, -0.058641423195115526, 0.09247852017284916, -0.1186971704559629, 0.13478729829279817, -0.13887818882631717, 0.12997034017645887, -0.10821752657276897, 0.07517362514581762, -0.03394766628250886, -0.010781695582667082, 0.052989869872360706, -0.08580421590574953, 0.10236601044213839, -0.09702605681378675, 0.06684934899634383, -0.013354590677342413, -0.0557434162229477, 0.12495439395905662, -0.1699259695298191, 0.15718689549363948, -0.04501729930841819, -0.21399305112978265, 0.6469333002088666, 0.5395934154017011, 0.0065647636553147785]","[0.0, 0.020078420406173803, 0.0, -0.0586414231951153, 0.0, 0.09247852017284505, 0.0, -0.11869717045598252, 0.0, 0.134787298292804, 0.0, -0.13887818882630304, 0.0, 0.12997034017644837, 0.0, -0.10821752657276539, 0.0, 0.07517362514585174, 0.0, -0.03394766628249027, 0.0, -0.010781695582670368, 0.0, 0.05298986987235101, 0.0, -0.0858042159057629, 0.0, 0.10236601044211623, 0.0, -0.09702605681380644, 0.0, 0.06684934899634326, 0.0, -0.013354590677331819, 0.0, -0.05574341622294156, 0.0, 0.12495439395905457, 0.0, -0.16992596952980948, 0.0, 0.15718689549367476, 0.0, -0.045017299308366426, 0.0, -0.21399305112975486, 0.0, 0.6469333002088667, 0.0, 0.5395934154017015, 0.0, 0.006564763655326104]","False","False","0.1756451044845147","0.1756451044846322","-9.284024096323228e-05","-9.28402410688145e-05","","","",""
"16384","51","1","1.6748017118082647e-05","74.98144316673279","[0.020079385955762013, -0.05864005578239266, 0.09248038887332916, -0.11869674641457882, 0.13478832229938278, -0.1388782826069834, 0.1299697083080636, -0.10821804295318357, 0.07517346087967855, -0.03394707462553802, -0.01078320762756716, 0.05298995967765092, -0.08580373437480107, 0.10236596457009257, -0.09702467407137991, 0.06685040630668711, -0.013354321748007013, -0.05574536864122844, 0.12495536911760112, -0.1699263886383401, 0.15718475147637648, -0.04501481539979701, -0.21400149893354622, 0.6469229578523892, 0.5395992489456605, 0.006570946386677082]","[0.0, 0.020079385955745006, 0.0, -0.058640055782384445, 0.0, 0.09248038887333167, 0.0, -0.11869674641458933, 0.0, 0.1347883222993907, 0.0, -0.13887828260696966, 0.0, 0.1299697083080596, 0.0, -0.10821804295318047, 0.0, 0.07517346087969898, 0.0, -0.033947074625527984, 0.0, -0.010783207627569312, 0.0, 0.05298995967764297, 0.0, -0.08580373437481228, 0.0, 0.10236596457007716, 0.0, -0.09702467407139839, 0.0, 0.06685040630668367, 0.0, -0.013354321747989154, 0.0, -0.055745368641214064, 0.0, 0.12495536911759822, 0.0, -0.16992638863833592, 0.0, 0.15718475147640298, 0.0, -0.04501481539976124, 0.0, -0.21400149893353046, 0.0, 0.6469229578523832, 0.0, 0.5395992489456534, 0.0, 0.006570946386680098]","False","False","0.1756397800740267","0.1756397800740559","-9.909625350490447e-05","-9.909625358128782e-05","","","",""
"32768","51","1","1.4470498251579191e-05","81.53052806854248","[0.020078999769718466, -0.05864017585936524, 0.09248028934836133, -0.11869640385605641, 0.1347881159788047, -0.13887823065496518, 0.12996977644878127, -0.10821773032015435, 0.0751735927384833, -0.033947542064968084, -0.010783015649532091, 0.052989546008152054, -0.08580375763855472, 0.1023655938481766, -0.09702485049619959, 0.06685071849999955, -0.013354716907273512, -0.05574452179079197, 0.12495430386602994, -0.16992542500302527, 0.15718611022797993, -0.045017353309217654, -0.2139938983669765, 0.6469311267343358, 0.539593027118513, 0.0065651315606777925]","[0.0, 0.02007899976970343, 0.0, -0.058640175859357435, 0.0, 0.09248028934836186, 0.0, -0.11869640385606828, 0.0, 0.13478811597881243, 0.0, -0.13887823065495083, 0.0, 0.12996977644877689, 0.0, -0.10821773032015242, 0.0, 0.07517359273850402, 0.0, -0.03394754206495698, 0.0, -0.010783015649533764, 0.0, 0.05298954600814378, 0.0, -0.08580375763856567, 0.0, 0.10236559384816067, 0.0, -0.09702485049621914, 0.0, 0.0668507184999946, 0.0, -0.013354716907258025, 0.0, -0.05574452179077656, 0.0, 0.12495430386603018, 0.0, -0.1699254250030196, 0.0, 0.1571861102280078, 0.0, -0.04501735330917903, 0.0, -0.21399389836695903, 0.0, 0.646931126734332, 0.0, 0.5395930271185094, 0.0, 0.006565131560684483]","False","False","0.1756378704759038","0.1756378704759432","-9.95835823602853e-05","-9.958358241390908e-05","","","",""
"65536","51","1","3.1728013208351568e-06","93.0894558429718","[0.0200790401271311, -0.05864015914859814, 0.09248024001198651, -0.11869641206426966, 0.1347881434578377, -0.13887814794360942, 0.129969672112639, -0.10821774864507627, 0.07517367348103528, -0.0339474744746123, -0.010782901678911874, 0.05298945700780076, -0.08580366679705974, 0.10236556030704773, -0.09702476068640468, 0.06685083740539587, -0.013354997755571531, -0.055744421919730676, 0.12495397331637598, -0.1699254093126714, 0.15718623244749458, -0.04501813691715286, -0.2139924344963307, 0.6469326582280452, 0.539591367292396, 0.0065637498552854594]","[0.0, 0.020079040127116, 0.0, -0.05864015914859033, 0.0, 0.09248024001198712, 0.0, -0.11869641206428128, 0.0, 0.13478814345784512, 0.0, -0.1388781479435951, 0.0, 0.12996967211263524, 0.0, -0.10821774864507375, 0.0, 0.0751736734810555, 0.0, -0.03394747447460174, 0.0, -0.010782901678913522, 0.0, 0.05298945700779305, 0.0, -0.0858036667970701, 0.0, 0.10236556030703212, 0.0, -0.0970247606864241, 0.0, 0.06685083740539051, 0.0, -0.013354997755556226, 0.0, -0.05574442191971546, 0.0, 0.12495397331637581, 0.0, -0.16992540931266598, 0.0, 0.1571862324475209, 0.0, -0.04501813691711625, 0.0, -0.21399243449631394, 0.0, 0.6469326582280407, 0.0, 0.5395913672923915, 0.0, 0.006563749855291481]","False","False","0.1756371017987164","0.1756371017987545","-9.991906816919638e-05","-9.991906816986253e-05","","","",""
"131072","51","1","8.008419361265142e-07","116.65509390830994","[0.020079041939237346, -0.058640149526773065, 0.09248021994158703, -0.11869645680684117, 0.13478810659085882, -0.1388781353219737, 0.12996970904531238, -0.10821770956304294, 0.07517364739012652, -0.033947563272326495, -0.01078296436813203, 0.05298946622121159, -0.08580356258908196, 0.10236560120868862, -0.09702478912074242, 0.06685074185333374, -0.013355129664356067, -0.055744409006811116, 0.12495401032085172, -0.169925212240615, 0.15718643272058574, -0.0450181261934712, -0.21399198623010612, 0.6469331091412197, 0.5395911600281604, 0.006563517123037754]","[0.0, 0.020079041939222015, 0.0, -0.05864014952676557, 0.0, 0.09248021994158748, 0.0, -0.11869645680685276, 0.0, 0.1347881065908667, 0.0, -0.13887813532195922, 0.0, 0.1299697090453089, 0.0, -0.10821770956304065, 0.0, 0.07517364739014687, 0.0, -0.03394756327231574, 0.0, -0.010782964368133648, 0.0, 0.05298946622120341, 0.0, -0.08580356258909297, 0.0, 0.10236560120867277, 0.0, -0.097024789120762, 0.0, 0.06685074185332882, 0.0, -0.013355129664340687, 0.0, -0.0557444090067957, 0.0, 0.12495401032085188, 0.0, -0.16992521224060944, 0.0, 0.15718643272061333, 0.0, -0.045018126193433136, 0.0, -0.21399198623008903, 0.0, 0.646933109141216, 0.0, 0.539591160028157, 0.0, 0.00656351712304459]","False","False","0.1756372100379439","0.1756372100379845","-9.9977082011371e-05","-9.997708201103794e-05","","","",""
"262144","51","1","6.240342081586833e-07","166.2135968208313","[0.020079049256052015, -0.05864013935919277, 0.09248023546391698, -0.11869644085327291, 0.13478812167766924, -0.1388781267999645, 0.1299697066205003, -0.10821771766916605, 0.07517364368276348, -0.03394754264433754, -0.010782925238392638, 0.05298949569632661, -0.08580357043871573, 0.1023655527306093, -0.09702482379523776, 0.06685075779101676, -0.013355047711683863, -0.05574427590264459, 0.12495409303574728, -0.16992525689293692, 0.1571862780035426, -0.04501818334355084, -0.2139917073793728, 0.6469335388189212, 0.539591398115075, 0.006563563482160917]","[0.0, 0.02007904925603622, 0.0, -0.058640139359185404, 0.0, 0.0924802354639174, 0.0, -0.11869644085328399, 0.0, 0.1347881216776772, 0.0, -0.13887812679994965, 0.0, 0.1299697066204968, 0.0, -0.10821771766916298, 0.0, 0.07517364368278476, 0.0, -0.03394754264432581, 0.0, -0.010782925238393868, 0.0, 0.05298949569631789, 0.0, -0.08580357043872769, 0.0, 0.10236555273059209, 0.0, -0.09702482379525776, 0.0, 0.06685075779101188, 0.0, -0.013355047711667756, 0.0, -0.05574427590262844, 0.0, 0.12495409303574787, 0.0, -0.16992525689292987, 0.0, 0.15718627800357193, 0.0, -0.04501818334351029, 0.0, -0.2139917073793538, 0.0, 0.6469335388189166, 0.0, 0.5395913981150705, 0.0, 0.006563563482167609]","False","False","0.1756377757255638","0.175637775725605","-9.99938298169578e-05","-9.999382981817906e-05","","","",""
